#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-24T21:53:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61256a173627ec	
#INFO	-out.max=100	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=100
#-order=I
#-nav=cat:J/MNRAS/486/2995&tab:{J/MNRAS/486/2995/table2}&key:source=J/MNRAS/486/2995&HTTPPRM:&&-ref=VIZ61256a173627ec&-out.max=100&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/486/2995/table2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=RAJ2000&-out=DEJ2000&-out=Gmag0&-out=(GBP-GRP)0&-out=Vlos&-out=e_Vlos&-out=[Fe/H]&-out=e_[Fe/H]&-out=Source&-out=Pmember&-out=SimbadName&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/MNRAS/486/2995/table2
#-source=J/MNRAS/486/2995/table2
#-out=RAJ2000
#-out=DEJ2000
#-out=Gmag0
#-out=(GBP-GRP)0
#-out=Vlos
#-out=e_Vlos
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=Source
#-out=Pmember
#-out=SimbadName
#
#RESOURCE=yCat_74862995
#Name: J/MNRAS/486/2995
#Title: GD-1 stellar stream (Malhan+, 2019)
#Table	J_MNRAS_486_2995_table2:
#Name: J/MNRAS/486/2995/table2
#Title: GD-1 star members with measured line-of-sight velocities from SEGUE and LAMOST
#Column	RAJ2000	(F9.5)	Right ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	Gmag0	(F5.2)	Extinction corrected Gaia magnitude G (2)	[ucd=phot.mag;arith.diff]
#Column	(GBP-GRP)0	(F5.2)	Extinction corrected Gaia color GBP-GRP (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	Vlos	(F7.2)	Observed line of sight velocities	[ucd=phys.veloc]
#Column	e_Vlos	(F5.2)	Uncertainties in observed line of sight velocities	[ucd=stat.error]
#Column	[Fe/H]	(F8.2)	? Observed metallicities	[ucd=phys.abund.Fe]
#Column	e_[Fe/H]	(F8.2)	? Uncertainties in observed metallicities	[ucd=stat.error;phys.abund.Fe]
#Column	Source	(A3)	[LS- ] Whether source is from SDSS/SEGUE or LAMOST survey	[ucd=meta.code]
#Column	Pmember	(A1)	[YN] Membership probability	[ucd=stat.probability]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	Gmag0	(GBP-GRP)0	Vlos	e_Vlos	[Fe/H]	e_[Fe/H]	Source	Pmember	SimbadName
#deg	deg	mag	mag	km/s	km/s	[-]	[-]	 	 	
#---------	---------	-----	-----	-------	-----	--------	--------	---	-	----------------------------
138.39986	+22.41298	19.23	 0.68	 114.52	11.59	   -2.47	    0.05	S  	Y	SDSS J091335.97+222446.8
138.45075	+22.43453	17.75	 0.72	 138.31	 4.05	   -2.16	    0.10	S  	N	2MASS J09134819+2226046
138.66816	+22.48170	19.20	 0.65	 105.69	11.13	   -1.77	    0.03	S  	Y	Gaia DR2 638789695660614528
138.68803	+22.15384	18.14	 0.60	 146.86	14.52	        	        	S  	Y	Gaia DR2 638728161664444416
141.11201	+27.55180	16.72	 0.71	 154.90	12.01	   -1.11	    0.26	L  	N	Gaia DR2 694523463332263552
141.65383	+29.35077	12.90	 1.10	  28.20	 6.59	   -1.49	    0.09	L  	N	Gaia DR2 697029078533610240
141.89885	+27.68611	18.54	 0.63	  45.87	 8.67	   -2.28	    0.08	S  	Y	Gaia DR2 694564351421312896
142.15018	+27.33780	16.40	 0.88	  38.63	23.99	   -2.05	    0.38	L  	Y	Gaia DR2 694353756288124288
142.78781	+29.46105	17.06	 0.86	  47.81	 4.16	   -2.05	    0.04	S  	Y	2MASS J09310909+2927403
142.82166	+29.61698	19.19	 0.66	  37.02	 7.27	   -2.36	    0.06	S  	Y	Gaia DR2 697086386280395648
142.93508	+30.19386	17.55	 0.74	 179.85	 2.92	   -1.30	    0.04	S  	N	Gaia DR2 697140331069881728
142.97877	+29.13627	17.96	 0.61	  46.89	 3.92	   -2.45	    0.03	S  	Y	SDSS J093154.91+290810.7
143.17622	+28.68416	14.52	 1.01	  34.17	15.62	   -2.35	    0.07	L  	Y	Gaia DR2 696138061798355840
143.30458	+29.65527	17.88	 0.61	  53.41	 3.27	   -2.53	    0.04	S  	Y	Gaia DR2 696355107969096320
143.33951	+29.62034	17.70	 0.64	  41.66	 4.70	   -2.16	    0.03	S  	Y	2MASS J09332151+2937132
143.42406	+29.03639	17.56	 0.71	  46.50	 5.14	   -2.17	    0.07	S  	Y	2MASS J09334182+2902117
143.55293	+29.47748	17.59	 0.74	  44.09	 4.60	   -2.29	    0.05	S  	Y	2MASS J09341274+2928394
144.12093	+30.94768	17.76	 0.61	  35.00	 2.80	   -2.46	    0.05	S  	Y	SDSS J093629.02+305651.8
144.27573	+30.28044	18.14	 0.60	  40.62	 3.91	   -2.45	    0.08	S  	Y	SDSS J093706.17+301649.6
144.46601	+31.16138	19.11	 0.65	  32.36	 6.20	   -2.64	    0.08	S  	Y	Gaia DR2 697672838295450624
144.48723	+30.41035	18.03	 0.58	  39.81	 3.57	   -1.96	    0.07	S  	Y	SDSS J093756.93+302437.4
144.65037	+31.34203	18.98	 0.65	  23.60	 6.02	   -2.55	    0.06	S  	Y	Gaia DR2 697681668748257280
145.67651	+32.36334	15.59	 0.94	  13.78	15.55	   -2.39	    0.21	L  	Y	Gaia DR2 793910484031755264
