Radius Velocity Error
1.000000000000000056e-01 1.449000000000000057e+02 3.700000000000000178e+00
1.100000000000000006e-01 1.474000000000000057e+02 4.200000000000000178e+00
1.209999999999999964e-01 1.504000000000000057e+02 4.799999999999999822e+00
1.330000000000000071e-01 1.538000000000000114e+02 6.099999999999999645e+00
1.459999999999999909e-01 1.589000000000000057e+02 1.030000000000000071e+01
1.610000000000000042e-01 1.674000000000000057e+02 1.610000000000000142e+01
1.769999999999999907e-01 1.800999999999999943e+02 2.239999999999999858e+01
1.950000000000000067e-01 1.965999999999999943e+02 2.710000000000000142e+01
2.139999999999999958e-01 2.135999999999999943e+02 2.689999999999999858e+01
2.359999999999999876e-01 2.278000000000000114e+02 2.269999999999999929e+01
2.590000000000000080e-01 2.379000000000000057e+02 1.700000000000000000e+01
2.849999999999999756e-01 2.444000000000000057e+02 1.180000000000000071e+01
3.140000000000000013e-01 2.481999999999999886e+02 7.599999999999999645e+00
3.449999999999999734e-01 2.501999999999999886e+02 4.700000000000000178e+00
3.800000000000000044e-01 2.510000000000000000e+02 2.899999999999999911e+00
4.179999999999999827e-01 2.506999999999999886e+02 2.100000000000000089e+00
4.590000000000000191e-01 2.496999999999999886e+02 2.299999999999999822e+00
5.050000000000000044e-01 2.480000000000000000e+02 2.899999999999999911e+00
5.560000000000000497e-01 2.459000000000000057e+02 3.700000000000000178e+00
6.119999999999999885e-01 2.431999999999999886e+02 4.599999999999999645e+00
6.730000000000000426e-01 2.398000000000000114e+02 5.700000000000000178e+00
7.399999999999999911e-01 2.358000000000000114e+02 6.400000000000000355e+00
8.139999999999999458e-01 2.316999999999999886e+02 6.500000000000000000e+00
8.950000000000000178e-01 2.278000000000000114e+02 6.000000000000000000e+00
9.849999999999999867e-01 2.245000000000000000e+02 5.200000000000000178e+00
1.082999999999999963e+00 2.216999999999999886e+02 4.500000000000000000e+00
1.191999999999999948e+00 2.190999999999999943e+02 4.000000000000000000e+00
1.310999999999999943e+00 2.168000000000000114e+02 3.700000000000000178e+00
1.441999999999999948e+00 2.146999999999999886e+02 3.399999999999999911e+00
1.586000000000000076e+00 2.126999999999999886e+02 3.100000000000000089e+00
1.745000000000000107e+00 2.109000000000000057e+02 2.799999999999999822e+00
1.919000000000000039e+00 2.095000000000000000e+02 2.299999999999999822e+00
2.111000000000000210e+00 2.085000000000000000e+02 1.800000000000000044e+00
2.322999999999999954e+00 2.081999999999999886e+02 1.600000000000000089e+00
2.555000000000000160e+00 2.089000000000000057e+02 2.200000000000000178e+00
2.810000000000000053e+00 2.106999999999999886e+02 3.600000000000000089e+00
3.091000000000000192e+00 2.134000000000000057e+02 4.799999999999999822e+00
3.399999999999999911e+00 2.171999999999999886e+02 5.900000000000000355e+00
3.740000000000000213e+00 2.220000000000000000e+02 6.599999999999999645e+00
4.113999999999999879e+00 2.265999999999999943e+02 5.700000000000000178e+00
4.525999999999999801e+00 2.295000000000000000e+02 4.400000000000000355e+00
4.979000000000000092e+00 2.315999999999999943e+02 4.299999999999999822e+00
5.475999999999999979e+00 2.340999999999999943e+02 5.299999999999999822e+00
6.024000000000000021e+00 2.371999999999999886e+02 5.700000000000000178e+00
6.626000000000000334e+00 2.395000000000000000e+02 5.000000000000000000e+00
7.288999999999999702e+00 2.400999999999999943e+02 4.099999999999999645e+00
8.018000000000000682e+00 2.390000000000000000e+02 4.400000000000000355e+00
8.820000000000000284e+00 2.366999999999999886e+02 5.400000000000000355e+00
9.701999999999999957e+00 2.345000000000000000e+02 6.000000000000000000e+00
1.067200000000000060e+01 2.341999999999999886e+02 7.099999999999999645e+00
1.173900000000000077e+01 2.370999999999999943e+02 9.800000000000000711e+00
1.291300000000000026e+01 2.428000000000000114e+02 1.240000000000000036e+01
1.420400000000000063e+01 2.485000000000000000e+02 1.330000000000000071e+01
1.562500000000000000e+01 2.496999999999999886e+02 1.480000000000000071e+01
1.718700000000000117e+01 2.461999999999999886e+02 1.739999999999999858e+01
1.890599999999999881e+01 2.433000000000000114e+02 1.830000000000000071e+01
2.079700000000000060e+01 2.439000000000000057e+02 1.750000000000000000e+01
2.287600000000000122e+01 2.455999999999999943e+02 1.559999999999999964e+01
2.516400000000000148e+01 2.436999999999999886e+02 1.519999999999999929e+01
2.767999999999999972e+01 2.373000000000000114e+02 1.610000000000000142e+01
3.044800000000000040e+01 2.295999999999999943e+02 1.550000000000000000e+01
3.349300000000000210e+01 2.225000000000000000e+02 1.409999999999999964e+01
3.684199999999999875e+01 2.150000000000000000e+02 1.400000000000000000e+01
4.052700000000000102e+01 2.070999999999999943e+02 1.380000000000000071e+01
4.457900000000000063e+01 2.003000000000000114e+02 1.269999999999999929e+01
4.903699999999999903e+01 1.946999999999999886e+02 1.190000000000000036e+01
5.394100000000000250e+01 1.898000000000000114e+02 1.130000000000000071e+01
5.933500000000000085e+01 1.861999999999999886e+02 1.040000000000000036e+01
6.526800000000000068e+01 1.846999999999999886e+02 9.599999999999999645e+00
7.179500000000000171e+01 1.839000000000000057e+02 9.300000000000000711e+00
7.897499999999999432e+01 1.814000000000000057e+02 1.100000000000000000e+01
8.687199999999999989e+01 1.755000000000000000e+02 1.459999999999999964e+01
9.556000000000000227e+01 1.676999999999999886e+02 1.630000000000000071e+01

